name,mitra_brand_name,location,link
Full-stack Developer,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/60636725-0494-11ef-9e17-0a54edb93563
Frontend Programmer,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/05d2701e-f179-11ee-af0a-42786e9b30fb
UI/UX,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/3b45f3fc-fc55-11ee-877d-ee833f3bb5c3
Full Stack Programmer,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/9b0e5240-fb8a-11ee-a84a-72d99f96bee5
Mobile Programmer,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/0398a72c-0705-11ef-87a3-36f764739585
Backend Programmer,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/17fa594c-fb88-11ee-82ee-42fdda477ac9
"Efficiency Energy Enthusiast (Management Energy Specialist, Data Analyst and Junior Auditor Energy )",Kementerian Energi Dan Sumber Daya Mineral,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0bdb6c85-4efe-437a-9b49-413b92b60ccd/905474e9-f2f2-11ee-9129-da28f9df4d8d
User Experience (UX) Designer,Campus Digital Indonesia,Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3e59e54c-76f8-4d60-ae33-a3fdfc59e505/aa13463c-0374-11ef-a8fb-022033fdbe37
Database Administrator,Campus Digital Indonesia,Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3e59e54c-76f8-4d60-ae33-a3fdfc59e505/b74afdd1-0375-11ef-9b3e-022ae5f04a49
Software Developer (Front-end dan Back-end),Campus Digital Indonesia,Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3e59e54c-76f8-4d60-ae33-a3fdfc59e505/37c3f20d-0375-11ef-9b3e-022ae5f04a49
Data Management Officer,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/b69586f0-fbcc-11ee-ae59-1295b2c39143
Back-end Developer,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/74c8e67b-fbcd-11ee-b3c3-42bfe4d30846
UI/UX designer,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/80ca8977-fbcd-11ee-be48-1676ae1015eb
Data Management Intern,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/1177686c-fbd1-11ee-ae59-1295b2c39143
Database Researcher,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/a598bf8b-fbd1-11ee-877d-ee833f3bb5c3
Front-end Developer,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/608d367e-fbcd-11ee-b3c3-42bfe4d30846
Software Developer,SMS Finance,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee7258bd-be6f-4d1f-b787-e221d625d218/e71fdd32-0385-11ef-bb7f-6ac06bc5928b
Data Analyst Intern,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/b4451764-0482-11ef-9e17-0a54edb93563
UI Designer Intern,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/62c3eed0-0486-11ef-9e17-0a54edb93563
QA Intern,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/d39f96c2-0480-11ef-9e17-0a54edb93563
Backend Developer Intern,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/d0250307-048a-11ef-bb7f-6ac06bc5928b
Front End Developer Intern,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/ef869ee6-048b-11ef-991a-ae222c5b6357
Data Analysis Intern,RINGKAS,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1c65ab60-8b64-4a70-9422-daddef4d9782/86d2e3f2-025e-11ef-86b3-8656e5bf6043
Website Developer (WordPress),RINGKAS,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1c65ab60-8b64-4a70-9422-daddef4d9782/3226da77-02eb-11ef-829a-72f05e45eff5
Enterprise Technology Intern,RINGKAS,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1c65ab60-8b64-4a70-9422-daddef4d9782/3a6bf951-02be-11ef-98a1-c2fa75b94ea6
Software Engineering (Support),RINGKAS,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1c65ab60-8b64-4a70-9422-daddef4d9782/6a93b48a-0384-11ef-a8fb-022033fdbe37
 Frontend Developer,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/3221ca76-e4ed-11ee-97b7-caa6484cdffa
 System Analyst,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/a70a9fd2-e4fb-11ee-97b7-caa6484cdffa
Quality Assurance (QA),Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/e4d67c09-e4f8-11ee-97b7-caa6484cdffa
Mobile Developer,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/8d01e419-e4f0-11ee-826e-82a549dac64f
Backend Developer ,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/9642786a-e4e2-11ee-97b7-caa6484cdffa
Data Exploration,Lokalate,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/7dd50290-0458-11ef-b035-262ecb639d34
IT - Business Analyst,Lokalate,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/2e26db9e-0457-11ef-8807-4ed702cab837
Full Stack - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/95edb105-efc1-11ee-bb69-32b7bdeb41bc
Mobile Apps Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/e60ec992-efcd-11ee-bb69-32b7bdeb41bc
Front End - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/91f413ca-efc3-11ee-bb69-32b7bdeb41bc
UI/UX Designer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/61f368ca-efc7-11ee-bb69-32b7bdeb41bc
Back End - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/1f0df8b6-efc5-11ee-92bb-b27cd062ba27
Quality Assurance,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/3366f0b3-efcd-11ee-9c51-1aff99471513
T&D - UX Writer,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/94a139b0-fdbe-11ee-8a41-f67d68bd6616
T&D - UX Researcher,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/1875895c-fdbe-11ee-9648-aa9bf47860c9
